"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P04632;Q96L46",-0.381998613476586,24.9573699120373,-3.54692154722311,0.0104294045371409,0.0191748948000559,-3.66737471772949
"P08195",0.93509130473387,25.6554112839397,3.49613612762216,0.0111348570396002,0.0203580101011384,-3.73830340298606
"P10599",-0.953793180225215,26.8263555338535,-3.4924356980126,0.0111882548431186,0.0203580101011384,-3.7434840963484
"P08754",-0.457238081112997,25.0029729163072,-3.43209425228107,0.0120994967624316,0.0219031915750685,-3.82819961165145
"P23526",0.684657363582211,23.9900708082254,3.42552042997116,0.0122035469584592,0.0219788371241638,-3.83745537163633
"P50990",0.346491030066659,24.589368009683,3.39848175433541,0.0126418536927974,0.0226526616931853,-3.87557896325741
"P14618;P30613",-0.356122084433515,29.2406334643435,-3.32487525957057,0.0139240058915907,0.0248241115137956,-3.97979139889113
"P35579;P35749",0.437691410362646,26.1650658641369,3.31507420771405,0.0141051045500629,0.0250206125938302,-3.99371408922785
"Q9UKK9",0.876614329195597,22.5473370670188,3.2885166055906,0.0146087658615165,0.0257844717455767,-4.03149327867532
"O15031",0.495252942588927,23.5655471368079,3.26799033380243,0.0150113749385276,0.0263632604641803,-4.06074527529538
"P13639;Q15029",-0.388958660716259,25.8990280974197,-3.2499058626008,0.0153760413389452,0.0268700128348893,-4.08655481859784
"Q9NUP9;O14910",-0.525744456176877,23.5172305291026,-3.19513388158951,0.0165401143780295,0.0287618737706622,-4.16493147696691
"P27701",-0.743675747702362,26.1769414884094,-3.1693154020929,0.0171215046627628,0.0296269173821336,-4.20198198338606
"P63104",-0.432024628229456,29.0818046341562,-3.08825748240099,0.0190943784749327,0.0328795883007377,-4.31871795271655
"O60664",0.852948064700339,23.0431802844075,3.04697048191491,0.0201919928249731,0.0346008420738617,-4.3784060068157
"Q13404",0.359288477156671,24.3097063696391,2.97928228040864,0.0221404671471266,0.0377564488064526,-4.47656816516643
"P50991",0.375851972176697,25.1571472388058,2.91010718057028,0.0243409727683662,0.0413094393616984,-4.57724380061998
"P45974",-0.394298875322459,23.5795561731996,-2.89812423431204,0.024745309531128,0.0417947093994649,-4.59471686652961
"P26599;O95758",-0.766290933983903,24.3098605765606,-2.88879335605907,0.0250651114687287,0.0421332588021963,-4.60832918877494
"Q13753",-0.657435841196083,22.5292309582763,-2.84688019381078,0.0265568467767763,0.0444292270720476,-4.66953977616485
"Q8NC51",0.594821070737879,22.5817668270293,2.84022719962922,0.0268021868617008,0.0446281696329264,-4.6792653098006
"P17655",0.344523525582712,24.8008021642093,2.82889121117774,0.0272257819571156,0.045120662116722,-4.69584219134451
"P20073",-0.52351843941701,23.2430896695425,-2.78688772376573,0.028858319241318,0.0476027415522675,-4.75732292856892
"Q15084",0.782786309183177,23.5291584526668,2.77840956397468,0.029200246878606,0.0479427309216182,-4.76974281504082
"P01024",-1.00975301998984,23.2594666167238,-2.75379177341946,0.0302176184400402,0.0492361051816756,-4.80582405854563
"P30101",0.43375727070433,22.6379609333375,2.75262035958938,0.0302669541768374,0.0492361051816756,-4.80754158597222
"P07741",-0.966550129633234,24.3696353117114,-2.74790151383664,0.0304665591783984,0.0493334650916268,-4.81446091984428
"P35222",-0.404468823525185,24.7935613776212,-2.74135916289664,0.030745602535919,0.0495579803432849,-4.82405555216502
"P07910;P0DMR1;O60812;B7ZW38;B2RXH8",-0.738495349368627,23.1731111885431,-2.70095625477633,0.0325297573622157,0.0521954743130098,-4.88334266842654
"O00161",0.558351493943444,23.8259173915793,2.68285713895856,0.0333641142582015,0.053292001507444,-4.90991841290986
"P31948",0.536782178550087,23.9514019825163,2.67510998059371,0.0337281156542159,0.0536307424591812,-4.92129673566457
"P60174",-0.296985561803826,27.3448936874066,-2.65982419353389,0.0344586366240795,0.0545466310686102,-4.94375160256141
"P33176;O60282;Q12840",0.271254189449404,22.7165167319036,2.63537203830469,0.0356620291808085,0.0561995370572563,-4.97968275284907
"P46781",-0.370664074477812,23.1096115729034,-2.63157028649175,0.0358530604215645,0.0562494681280545,-4.98527026912622
"P61106",0.935353617577729,23.7672415582482,2.61304959960587,0.0367991770415697,0.0574783606003279,-5.01249386926288
"P25398",-0.651352133974406,24.4664041802771,-2.58863426332396,0.0380866032199685,0.0592271847429466,-5.04838879878646
"P25786",-0.361647487007936,23.5199111363436,-2.47800310715727,0.0445384914398512,0.0689565240274889,-5.21104850202414
"P62879",0.316466772601391,26.5717279461506,2.44853685203523,0.0464421281926767,0.0715898307948247,-5.25434934363302
